mode,logistics_partner,vehicle_type,fuel_type,distance_in_km_per_route,vehicle_capacity_in_kg,load_capacity_in_kg,average_speed_in_km_per_hr,traffic_condition,no_of_stop,vehicle_age_in_years,engine_norm_type,adjusted_fuel_efficiency_in_km_litre,adjusted_energy_kwh_per_km,total_energy_kwh,fuel_consumption_in_litre,load_factor,c02_emission_kg
Road,Delhivery,van,diesel,111,1000.0,430.0,32.86,Moderate,27,3,BS-III,11.031,,,10.14,0.43,24.336
Road,Delhivery,van,diesel,114,800.0,648.0,32.61,Moderate,21,3,BS-IV,12.574,,,9.101,0.81,20.932
Road,Delhivery,van,diesel,102,1000.0,800.0,29.98,Low,28,4,BS-III,11.93,,,8.617,0.8,20.681
Road,Delhivery,van,diesel,78,600.0,468.0,27.72,Moderate,30,2,BS-IV,12.493,,,6.263,0.78,14.405
Road,Delhivery,van,diesel,135,1200.0,984.0,30.96,Heavy,10,4,BS-III,8.894,,,15.229,0.82,36.55
Road,Delhivery,van,diesel,60,1000.0,200.0,33.99,Moderate,15,3,BS-IV,11.434,,,5.252,0.2,12.08
Road,Delhivery,van,diesel,100,1000.0,840.0,38.89,Heavy,11,3,BS-IV,8.258,,,12.132,0.84,27.904
Road,Delhivery,van,diesel,132,800.0,160.0,32.28,Moderate,29,1,BS-VI,11.1,,,11.946,0.2,25.087
Road,Delhivery,van,diesel,159,1000.0,530.0,38.62,Heavy,25,2,BS-IV,10.921,,,14.609,0.53,33.601
Road,Delhivery,van,electric,142,700.0,591.45,29.9,Low,67,0,Electric,,0.03853,5.4832,,0.8449,4.4962
Road,Delhivery,van,electric,182,700.0,528.01,25.64,Low,33,1,Electric,,0.03692,6.7471,,0.7543,5.5326
Road,Delhivery,van,electric,44,800.0,663.69,39.03,Moderate,34,3,Electric,,0.04043,1.789,,0.8296,1.467
Road,Delhivery,van,electric,169,700.0,598.7,28.19,Moderate,41,2,Electric,,0.03531,5.9854,,0.8553,4.908
Road,Delhivery,van,electric,193,900.0,415.19,32.6,Moderate,74,2,Electric,,0.03944,7.6178,,0.4613,6.2466
Road,Delhivery,van,electric,169,1000.0,721.74,44.46,Moderate,25,4,Electric,,0.03718,6.2886,,0.7217,5.1567
Road,Delhivery,van,electric,140,900.0,671.77,39.09,Low,62,1,Electric,,0.03964,5.5726,,0.7464,4.5695
Road,Delhivery,van,electric,197,800.0,735.91,32.6,Moderate,60,6,Electric,,0.03901,7.7099,,0.9199,6.3221
Road,Delhivery,van,electric,99,800.0,641.68,39.04,Heavy,61,0,Electric,,0.04132,4.1002,,0.8021,3.3622
Road,Delhivery,van,electric,67,800.0,398.43,32.59,Heavy,64,4,Electric,,0.0376,2.5335,,0.498,2.0775
Road,Delhivery,van,electric,91,700.0,376.2,25.64,Moderate,45,2,Electric,,0.03377,3.1031,,0.5374,2.5445
Road,Delhivery,van,electric,186,1200.0,1110.98,31.29,Heavy,51,3,Electric,,0.04584,8.5308,,0.9258,6.9953
Road,Delhivery,van,electric,142,800.0,447.14,29.93,Heavy,54,2,Electric,,0.04316,6.1658,,0.5589,5.056
Road,Delhivery,van,electric,108,1200.0,767.57,29.39,Low,52,3,Electric,,0.03292,3.5735,,0.6396,2.9303
Road,Delhivery,van,electric,47,700.0,344.19,28.2,Heavy,47,4,Electric,,0.03572,1.6981,,0.4917,1.3924
Road,Delhivery,van,electric,101,1000.0,717.47,44.42,Low,63,5,Electric,,0.03389,3.4249,,0.7175,2.8084
Road,Delhivery,van,electric,181,900.0,775.04,31.8,Moderate,47,1,Electric,,0.03822,6.9396,,0.8612,5.6905
Road,Delhivery,van,electric,192,900.0,884.82,40.24,Heavy,78,0,Electric,,0.04468,8.6058,,0.9831,7.0568
Road,Delhivery,van,electric,87,1200.0,918.46,28.06,Low,54,6,Electric,,0.04322,3.7926,,0.7654,3.1099
Road,Delhivery,van,electric,186,1200.0,713.39,25.39,Moderate,76,6,Electric,,0.04355,8.1421,,0.5945,6.6765
Road,Delhivery,van,electric,78,800.0,741.44,43.94,Low,66,3,Electric,,0.04131,3.235,,0.9268,2.6527
Road,Delhivery,van,electric,196,1200.0,1031.4,27.57,Moderate,80,4,Electric,,0.03607,7.087,,0.8595,5.8113
Road,Delhivery,van,electric,124,1200.0,784.66,29.24,Heavy,68,5,Electric,,0.04378,5.4475,,0.6539,4.4669
Road,Delhivery,van,electric,154,1000.0,997.09,38.0,Moderate,77,4,Electric,,0.03952,6.0888,,0.9971,4.9928
Road,Delhivery,van,electric,79,700.0,422.0,36.77,Low,57,1,Electric,,0.03141,2.5021,,0.6029,2.0517
Road,Delhivery,van,electric,153,700.0,376.16,43.11,Moderate,24,4,Electric,,0.03628,5.5599,,0.5374,4.5591
Road,Delhivery,van,electric,147,800.0,578.83,39.47,Heavy,56,3,Electric,,0.03791,5.5743,,0.7235,4.5709
Road,Delhivery,van,electric,115,1000.0,514.25,26.94,Moderate,42,3,Electric,,0.0378,4.3727,,0.5142,3.5856
Road,Delhivery,van,electric,178,700.0,562.81,44.68,Low,23,3,Electric,,0.04009,7.1444,,0.804,5.8584
Road,Delhivery,van,electric,168,700.0,384.44,28.8,Moderate,28,3,Electric,,0.03531,5.9353,,0.5492,4.8669
Road,Ecom Express,van,diesel,144,600.0,294.0,39.78,Heavy,23,1,BS-IV,9.568,,,15.064,0.49,34.647
Road,Ecom Express,van,diesel,130,800.0,160.0,26.95,Moderate,26,3,BS-III,13.524,,,9.679,0.2,23.23
Road,Ecom Express,van,diesel,150,1000.0,870.0,33.56,Moderate,12,2,BS-III,13.754,,,10.952,0.87,26.285
Road,Ecom Express,van,diesel,112,600.0,426.0,28.31,Heavy,19,4,BS-VI,10.561,,,10.651,0.71,22.367
Road,Ecom Express,van,diesel,102,1000.0,740.0,39.59,Moderate,15,5,BS-III,11.372,,,8.99,0.74,21.576
Road,Ecom Express,van,diesel,78,1200.0,504.0,28.45,Moderate,10,3,BS-VI,13.549,,,5.797,0.42,12.174
Road,Ecom Express,van,diesel,107,800.0,680.0,29.44,Moderate,24,4,BS-IV,10.12,,,10.623,0.85,24.433
Road,Ecom Express,van,diesel,71,600.0,120.0,37.94,Heavy,20,3,BS-III,13.742,,,5.213,0.2,12.511
Road,Ecom Express,van,diesel,121,800.0,160.0,33.63,Moderate,10,4,BS-IV,10.499,,,11.602,0.2,26.685
Road,Ecom Express,van,diesel,118,1000.0,880.0,26.11,Moderate,27,3,BS-IV,10.601,,,11.221,0.88,25.808
Road,Ecom Express,van,diesel,103,1000.0,200.0,31.36,Heavy,30,6,BS-VI,9.897,,,10.45,0.2,21.945
Road,Ecom Express,van,diesel,140,600.0,510.0,37.29,Moderate,28,2,BS-III,11.458,,,12.247,0.85,29.393
Road,Ecom Express,van,diesel,66,800.0,408.0,32.2,Low,17,1,BS-VI,15.002,,,4.457,0.51,9.36
Road,Ecom Express,van,diesel,83,1000.0,530.0,35.79,Low,23,5,BS-III,10.411,,,8.064,0.53,19.354
Road,Ecom Express,van,diesel,99,1000.0,820.0,25.66,Heavy,19,2,BS-VI,12.608,,,7.884,0.82,16.556
Road,Ecom Express,van,diesel,130,600.0,528.0,27.52,Moderate,17,1,BS-IV,12.948,,,10.064,0.88,23.147
Road,Ecom Express,van,diesel,124,1000.0,850.0,33.68,Low,23,3,BS-IV,11.645,,,10.729,0.85,24.677
Road,Ecom Express,van,diesel,156,1200.0,576.0,32.51,Moderate,25,6,BS-IV,11.983,,,13.034,0.48,29.978
Road,Ecom Express,van,diesel,77,600.0,300.0,29.18,Heavy,11,5,BS-IV,10.278,,,7.496,0.5,17.241
Road,Ecom Express,van,diesel,117,600.0,468.0,37.71,Moderate,28,4,BS-III,11.345,,,10.342,0.78,24.821
Road,Ecom Express,van,diesel,114,600.0,438.0,25.56,Heavy,26,4,BS-III,9.776,,,11.703,0.73,28.087
Road,Ecom Express,van,diesel,159,600.0,498.0,27.29,Heavy,28,2,BS-III,9.298,,,17.114,0.83,41.074
Road,Ecom Express,van,diesel,123,1000.0,200.0,39.74,Moderate,11,4,BS-VI,14.077,,,8.739,0.2,18.352
Road,Ecom Express,van,diesel,65,1200.0,240.0,38.03,Moderate,13,5,BS-III,11.236,,,5.855,0.2,14.052
Road,Ecom Express,van,diesel,75,800.0,408.0,30.75,Moderate,28,4,BS-IV,13.322,,,5.667,0.51,13.034
Road,Ecom Express,van,diesel,154,1000.0,200.0,34.2,Moderate,25,4,BS-III,10.67,,,14.515,0.2,34.836
Road,Ecom Express,van,diesel,110,600.0,432.0,34.36,Low,11,1,BS-III,12.749,,,8.664,0.72,20.794
Road,Ecom Express,van,diesel,147,1200.0,240.0,38.44,Heavy,21,4,BS-VI,9.278,,,15.947,0.2,33.489
Road,Ecom Express,van,diesel,135,800.0,440.0,32.4,Moderate,26,5,BS-VI,11.798,,,11.502,0.55,24.154
Road,Ecom Express,van,diesel,67,600.0,474.0,28.14,Low,28,2,BS-IV,12.226,,,5.521,0.79,12.698
Road,Ecom Express,van,diesel,138,1200.0,852.0,28.04,Moderate,30,5,BS-IV,11.247,,,12.346,0.71,28.396
Road,Ecom Express,van,diesel,127,800.0,664.0,35.56,Heavy,10,6,BS-IV,11.734,,,10.906,0.83,25.084
Road,Ecom Express,van,diesel,159,1000.0,200.0,35.34,Moderate,28,5,BS-IV,12.658,,,12.595,0.2,28.968
Road,Ecom Express,van,diesel,126,1000.0,200.0,34.17,Moderate,23,3,BS-III,10.852,,,11.661,0.2,27.986
Road,Ecom Express,van,diesel,154,1200.0,696.0,35.04,Moderate,19,2,BS-VI,11.635,,,13.272,0.58,27.871
Road,Ecom Express,van,diesel,88,600.0,120.0,39.73,Moderate,15,1,BS-IV,12.549,,,7.052,0.2,16.22
Road,Ecom Express,van,diesel,154,800.0,376.0,32.45,Heavy,23,3,BS-III,10.532,,,14.686,0.47,35.246
Road,Ecom Express,van,diesel,155,1000.0,200.0,36.76,Heavy,12,6,BS-IV,10.999,,,14.18,0.2,32.614
Road,Ecom Express,van,diesel,63,600.0,120.0,35.15,Moderate,26,5,BS-III,9.982,,,6.362,0.2,15.269
Road,Ecom Express,van,diesel,101,600.0,120.0,37.14,Heavy,27,4,BS-III,11.918,,,8.543,0.2,20.503
Road,Ecom Express,van,cng,142,1500.0,673.03,35.45,Moderate,48,3,BS-IV,18.22,,,7.82,0.4487,21.51
Road,Ecom Express,van,cng,108,1300.0,503.74,46.16,Low,37,3,BS-VI,16.39,,,6.62,0.3875,18.21
Road,Ecom Express,van,cng,249,1300.0,620.47,47.64,Moderate,33,5,BS-IV,17.1,,,14.58,0.4773,40.09
Road,Ecom Express,van,cng,145,1500.0,828.37,54.03,Low,21,2,BS-IV,20.04,,,7.26,0.5522,19.96
Road,Ecom Express,van,cng,233,1400.0,892.41,28.02,Low,57,0,BS-IV,18.46,,,12.62,0.6374,34.7
Road,Ecom Express,van,cng,131,1400.0,945.79,53.98,Low,33,7,BS-VI,20.4,,,6.43,0.6756,17.68
Road,Ecom Express,van,cng,184,1000.0,723.79,54.38,Heavy,61,0,BS-IV,18.27,,,10.11,0.7238,27.8
Road,Ecom Express,van,cng,151,1100.0,898.12,31.04,Heavy,35,1,BS-IV,16.36,,,9.24,0.8165,25.41
Road,Ecom Express,van,cng,143,1300.0,708.32,48.02,Low,21,3,BS-IV,17.59,,,8.17,0.5449,22.47
Road,Ecom Express,van,cng,231,1000.0,806.56,49.39,Heavy,70,8,BS-IV,15.64,,,14.8,0.8066,40.7
Road,Ecom Express,van,cng,175,1300.0,993.11,43.85,Heavy,54,6,BS-VI,17.84,,,9.82,0.7639,27.01
Road,Ecom Express,van,cng,210,1000.0,770.87,30.65,Heavy,42,6,BS-VI,15.43,,,13.67,0.7709,37.59
Road,Ecom Express,van,cng,224,1200.0,473.87,30.87,Moderate,37,5,BS-IV,16.15,,,13.92,0.3949,38.28
Road,Ecom Express,van,cng,246,1200.0,454.14,30.69,Moderate,57,7,BS-VI,15.84,,,15.56,0.3784,42.79
Road,Ecom Express,van,cng,186,1000.0,845.55,32.77,Heavy,39,6,BS-VI,18.07,,,10.31,0.8456,28.35
Road,Ecom Express,van,cng,241,1200.0,675.07,48.0,Moderate,39,4,BS-VI,17.82,,,13.56,0.5626,37.29
Road,Ecom Express,van,cng,185,1300.0,1076.75,31.32,Low,33,5,BS-IV,21.61,,,8.59,0.8283,23.62
Road,Ecom Express,van,cng,132,1500.0,854.26,49.7,Moderate,25,7,BS-VI,19.39,,,6.83,0.5695,18.78
Road,Ecom Express,van,cng,200,1400.0,1143.23,50.39,Heavy,52,8,BS-IV,15.29,,,13.09,0.8166,36.0
Road,Ecom Express,van,cng,122,1500.0,702.54,49.58,Moderate,35,8,BS-VI,17.89,,,6.85,0.4684,18.84
Road,Ecom Express,van,electric,114,700.0,466.11,42.23,Heavy,26,0,Electric,,0.0415,4.7318,,0.6659,3.8801
Road,Ecom Express,van,electric,126,700.0,686.98,43.53,Low,30,3,Electric,,0.03785,4.7876,,0.9814,3.9258
Road,Ecom Express,van,electric,74,1000.0,941.47,28.29,Low,44,2,Electric,,0.04214,3.1268,,0.9415,2.564
Road,Ecom Express,van,electric,165,900.0,588.42,44.15,Heavy,62,5,Electric,,0.0414,6.8567,,0.6538,5.6225
Road,Ecom Express,van,electric,70,800.0,784.98,36.58,Heavy,23,5,Electric,,0.03987,2.8061,,0.9812,2.301
Road,Ecom Express,van,electric,48,1000.0,701.71,42.05,Low,23,4,Electric,,0.03323,1.5957,,0.7017,1.3085
Road,Ecom Express,van,electric,69,1200.0,528.93,42.24,Moderate,27,4,Electric,,0.03622,2.5256,,0.4408,2.071
Road,Ecom Express,van,electric,135,1200.0,539.03,38.15,Heavy,53,2,Electric,,0.045,6.0804,,0.4492,4.9859
Road,Ecom Express,van,electric,72,900.0,488.89,32.92,Heavy,61,2,Electric,,0.0398,2.8927,,0.5432,2.372
Road,Ecom Express,van,electric,188,700.0,283.91,37.42,Heavy,26,0,Electric,,0.03974,7.4966,,0.4056,6.1472
Road,Ecom Express,van,electric,120,800.0,767.96,42.62,Low,43,2,Electric,,0.03392,4.1023,,0.96,3.3639
Road,Ecom Express,van,electric,173,900.0,690.31,44.74,Heavy,53,0,Electric,,0.04193,7.2707,,0.767,5.962
Road,Ecom Express,van,electric,128,700.0,674.35,27.69,Low,76,0,Electric,,0.0394,5.0724,,0.9634,4.1594
Road,Ecom Express,van,electric,64,900.0,686.61,39.35,Low,63,5,Electric,,0.04206,2.7284,,0.7629,2.2373
Road,Ecom Express,van,electric,120,900.0,848.88,41.92,Low,60,3,Electric,,0.04146,5.0113,,0.9432,4.1093
Road,Ecom Express,van,electric,47,900.0,776.4,37.74,Moderate,30,5,Electric,,0.03949,1.858,,0.8627,1.5236
Road,Ecom Express,van,electric,152,1200.0,486.96,26.5,Heavy,77,1,Electric,,0.04021,6.1485,,0.4058,5.0418
Road,Ecom Express,van,electric,173,1200.0,877.82,33.6,Low,39,2,Electric,,0.04136,7.1776,,0.7315,5.8856
Road,Ecom Express,van,electric,167,700.0,657.55,29.2,Low,62,0,Electric,,0.03525,5.9001,,0.9394,4.8381
Road,Ecom Express,van,electric,129,1000.0,984.3,39.99,Low,75,1,Electric,,0.04237,5.4903,,0.9843,4.502
Road,Shadowfax,van,diesel,155,800.0,320.0,27.76,Heavy,13,1,BS-III,9.363,,,16.64,0.4,39.936
Road,Shadowfax,van,diesel,150,1200.0,684.0,39.02,Low,10,3,BS-VI,12.226,,,12.348,0.57,25.931
Road,Shadowfax,van,diesel,61,600.0,294.0,31.09,Moderate,26,5,BS-IV,12.839,,,4.766,0.49,10.962
Road,Shadowfax,van,diesel,93,800.0,160.0,27.89,Heavy,12,6,BS-VI,9.01,,,10.406,0.2,21.853
Road,Shadowfax,van,diesel,62,600.0,120.0,32.33,Heavy,19,2,BS-III,11.608,,,5.404,0.2,12.97
Road,Shadowfax,van,diesel,84,600.0,456.0,26.0,Moderate,28,3,BS-VI,13.202,,,6.376,0.76,13.39
Road,Shadowfax,van,diesel,113,1000.0,780.0,28.0,Moderate,26,3,BS-VI,13.685,,,8.291,0.78,17.411
Road,Shadowfax,van,diesel,84,600.0,480.0,34.36,Moderate,19,3,BS-III,13.09,,,6.449,0.8,15.478
Road,Shadowfax,van,diesel,66,1000.0,730.0,31.97,Low,26,6,BS-IV,12.511,,,5.315,0.73,12.225
Road,Shadowfax,van,diesel,129,600.0,516.0,33.69,Moderate,13,6,BS-VI,8.759,,,14.757,0.86,30.99
Road,Shadowfax,van,diesel,129,1000.0,500.0,29.37,Moderate,28,6,BS-III,12.994,,,9.978,0.5,23.947
Road,Shadowfax,van,diesel,142,1000.0,760.0,27.56,Heavy,16,4,BS-III,8.677,,,16.366,0.76,39.278
Road,Shadowfax,van,diesel,125,600.0,330.0,34.59,Moderate,23,2,BS-VI,9.147,,,13.7,0.55,28.77
Road,Shadowfax,van,diesel,158,1200.0,1080.0,34.29,Low,26,6,BS-III,14.053,,,11.314,0.9,27.154
Road,Shadowfax,van,diesel,93,800.0,160.0,33.24,Moderate,10,1,BS-IV,14.546,,,6.432,0.2,14.794
Road,Shadowfax,van,diesel,151,600.0,516.0,39.99,Moderate,14,2,BS-VI,13.86,,,10.924,0.86,22.94
Road,Shadowfax,van,diesel,158,800.0,160.0,36.04,Heavy,13,3,BS-IV,12.858,,,12.331,0.2,28.361
Road,Shadowfax,van,diesel,87,600.0,120.0,33.42,Moderate,11,4,BS-VI,10.778,,,8.1,0.2,17.01
Road,Shadowfax,van,diesel,64,1200.0,240.0,33.89,Moderate,26,4,BS-III,11.245,,,5.692,0.2,13.661
Road,Shadowfax,van,diesel,68,1200.0,864.0,35.6,Moderate,18,5,BS-IV,8.677,,,7.919,0.72,18.214
Road,Shadowfax,van,diesel,67,800.0,712.0,31.2,Heavy,29,6,BS-III,11.534,,,5.855,0.89,14.052
Road,Shadowfax,van,diesel,75,1000.0,890.0,39.83,Low,29,1,BS-IV,12.265,,,6.12,0.89,14.076
Road,Shadowfax,van,diesel,99,600.0,294.0,28.47,Moderate,13,3,BS-VI,9.731,,,10.243,0.49,21.51
Road,Shadowfax,van,diesel,139,1000.0,780.0,27.0,Heavy,10,6,BS-IV,12.603,,,11.045,0.78,25.403
Road,Shadowfax,van,diesel,159,1000.0,410.0,32.21,Low,14,5,BS-VI,10.237,,,15.605,0.41,32.771
Road,Xpressbees,van,diesel,128,1000.0,540.0,25.67,Low,14,6,BS-III,10.656,,,12.035,0.54,28.884
Road,Xpressbees,van,diesel,125,1200.0,924.0,27.33,Moderate,26,2,BS-III,9.697,,,12.951,0.77,31.082
Road,Xpressbees,van,diesel,86,1200.0,240.0,30.7,Moderate,19,6,BS-III,11.092,,,7.809,0.2,18.742
Road,Xpressbees,van,diesel,77,800.0,664.0,36.04,Low,25,3,BS-IV,12.371,,,6.231,0.83,14.331
Road,Xpressbees,van,diesel,79,800.0,384.0,27.73,Low,23,3,BS-IV,10.226,,,7.74,0.48,17.802
Road,Xpressbees,van,diesel,106,800.0,352.0,39.22,Heavy,16,1,BS-VI,9.815,,,10.815,0.44,22.712
Road,Xpressbees,van,diesel,125,800.0,592.0,30.73,Heavy,21,3,BS-IV,8.687,,,14.478,0.74,33.299
Road,Xpressbees,van,diesel,60,1000.0,400.0,37.68,Moderate,22,2,BS-III,9.922,,,6.078,0.4,14.587
Road,Xpressbees,van,diesel,129,600.0,120.0,27.21,Moderate,18,5,BS-VI,10.569,,,12.249,0.2,25.723
Road,Xpressbees,van,diesel,140,800.0,408.0,34.03,Low,14,6,BS-III,11.678,,,11.989,0.51,28.774
Road,Xpressbees,van,diesel,127,600.0,540.0,30.71,Low,30,5,BS-VI,11.232,,,11.376,0.9,23.89
Road,Xpressbees,van,diesel,115,1200.0,1056.0,29.53,Moderate,26,6,BS-III,8.899,,,12.98,0.88,31.152
Road,Xpressbees,van,diesel,135,1200.0,552.0,36.12,Moderate,21,3,BS-VI,10.313,,,13.121,0.46,27.554
Road,Xpressbees,van,diesel,139,1000.0,460.0,32.98,Moderate,13,5,BS-VI,12.531,,,11.13,0.46,23.373
Road,Xpressbees,van,diesel,69,600.0,120.0,30.59,Moderate,15,6,BS-III,11.584,,,5.967,0.2,14.321
Road,Xpressbees,van,diesel,115,600.0,120.0,37.11,Heavy,27,2,BS-VI,9.219,,,12.484,0.2,26.216
Road,Xpressbees,van,diesel,120,1000.0,770.0,31.47,Moderate,25,1,BS-VI,11.718,,,10.273,0.77,21.573
Road,Xpressbees,van,diesel,111,1000.0,200.0,32.47,Moderate,17,3,BS-IV,9.153,,,12.204,0.2,28.069
Road,Xpressbees,van,diesel,66,1000.0,830.0,37.44,Moderate,19,6,BS-IV,9.933,,,6.723,0.83,15.463
Road,Xpressbees,van,diesel,123,800.0,720.0,32.91,Moderate,10,2,BS-VI,9.592,,,12.835,0.9,26.954
Road,Xpressbees,van,diesel,128,800.0,160.0,32.26,Moderate,17,5,BS-III,13.671,,,9.413,0.2,22.591
Road,Xpressbees,van,diesel,138,800.0,160.0,37.19,Heavy,25,6,BS-VI,12.21,,,11.302,0.2,23.734
Road,Xpressbees,van,diesel,151,600.0,282.0,33.73,Moderate,21,3,BS-VI,12.434,,,12.223,0.47,25.668
Road,Xpressbees,van,diesel,137,600.0,504.0,33.06,Moderate,28,4,BS-IV,11.336,,,12.109,0.84,27.851
Road,Xpressbees,van,diesel,88,800.0,160.0,39.27,Low,21,2,BS-VI,10.706,,,8.239,0.2,17.302
Road,Xpressbees,van,cng,162,1500.0,1323.81,42.94,Low,58,2,BS-VI,19.66,,,8.27,0.8825,22.74
Road,Xpressbees,van,cng,230,1100.0,759.58,45.72,Heavy,38,4,BS-IV,14.32,,,16.11,0.6905,44.3
Road,Xpressbees,van,cng,165,1000.0,811.09,42.97,Heavy,60,8,BS-IV,17.82,,,9.28,0.8111,25.52
Road,Xpressbees,van,cng,207,1500.0,789.87,40.44,Low,35,4,BS-IV,21.21,,,9.78,0.5266,26.89
Road,Xpressbees,van,cng,140,1500.0,738.3,30.27,Heavy,43,6,BS-IV,19.33,,,7.29,0.4922,20.05
Road,Xpressbees,van,cng,133,1200.0,780.5,36.47,Moderate,66,2,BS-IV,17.03,,,7.82,0.6504,21.51
Road,Xpressbees,van,cng,177,1300.0,804.5,29.13,Moderate,29,3,BS-IV,15.38,,,11.57,0.6188,31.82
Road,Xpressbees,van,cng,121,1200.0,474.28,51.4,Low,20,2,BS-VI,21.09,,,5.74,0.3952,15.79
Road,Xpressbees,van,cng,95,1500.0,698.03,50.57,Moderate,22,1,BS-IV,21.09,,,4.55,0.4654,12.51
Road,Xpressbees,van,cng,111,1100.0,768.93,48.16,Low,25,8,BS-VI,18.41,,,6.04,0.699,16.61
Road,Xpressbees,van,cng,187,1200.0,516.79,30.28,Low,33,6,BS-IV,18.55,,,10.12,0.4307,27.83
Road,Xpressbees,van,cng,104,1100.0,520.84,42.68,Moderate,56,4,BS-VI,15.77,,,6.64,0.4735,18.26
Road,Xpressbees,van,cng,224,1100.0,543.7,49.17,Moderate,36,7,BS-VI,19.84,,,11.32,0.4943,31.13
Road,Xpressbees,van,cng,142,1200.0,1006.89,31.86,Low,33,8,BS-VI,20.82,,,6.86,0.8391,18.87
Road,Xpressbees,van,cng,125,1200.0,695.97,53.21,Moderate,60,1,BS-VI,17.47,,,7.2,0.58,19.8
Road,Xpressbees,van,cng,232,1000.0,565.44,45.34,Moderate,61,6,BS-IV,16.97,,,13.67,0.5654,37.59
Road,Xpressbees,van,cng,219,1400.0,1217.4,53.9,Low,53,7,BS-IV,16.25,,,13.52,0.8696,37.18
Road,Xpressbees,van,cng,87,1200.0,646.43,42.47,Low,37,8,BS-VI,20.37,,,4.28,0.5387,11.77
Road,Xpressbees,van,cng,188,1500.0,1036.88,33.47,Moderate,48,1,BS-VI,19.42,,,9.68,0.6913,26.62
Road,Xpressbees,van,cng,237,1000.0,768.44,43.93,Moderate,49,5,BS-IV,16.21,,,14.63,0.7684,40.23
Road,Xpressbees,van,electric,169,1000.0,414.87,39.73,Moderate,70,3,Electric,,0.04192,7.1147,,0.4149,5.8341
Road,Xpressbees,van,electric,178,800.0,448.07,40.75,Low,44,6,Electric,,0.03317,5.9126,,0.5601,4.8483
Road,Xpressbees,van,electric,115,800.0,711.96,34.21,Moderate,72,6,Electric,,0.04487,5.174,,0.89,4.2427
Road,Xpressbees,van,electric,75,800.0,511.26,30.57,Low,69,2,Electric,,0.03536,2.6757,,0.6391,2.1941
Road,Xpressbees,van,electric,121,1200.0,718.43,25.55,Moderate,31,4,Electric,,0.04448,5.4043,,0.5987,4.4315
Road,Xpressbees,van,electric,82,700.0,530.56,31.91,Moderate,47,4,Electric,,0.04506,3.7161,,0.7579,3.0472
Road,Xpressbees,van,electric,58,1200.0,616.86,25.89,Moderate,20,4,Electric,,0.04396,2.5717,,0.5141,2.1088
Road,Xpressbees,van,electric,126,800.0,494.83,26.4,Heavy,78,2,Electric,,0.04179,5.2718,,0.6185,4.3229
Road,Xpressbees,van,electric,146,700.0,582.3,31.01,Moderate,62,3,Electric,,0.0375,5.4802,,0.8319,4.4938
Road,Xpressbees,van,electric,151,1200.0,571.65,33.41,Moderate,63,5,Electric,,0.04393,6.6576,,0.4764,5.4592
Road,Xpressbees,van,electric,138,900.0,579.28,41.67,Moderate,38,1,Electric,,0.03758,5.2041,,0.6436,4.2674
Road,Xpressbees,van,electric,132,900.0,611.09,33.84,Low,52,3,Electric,,0.04047,5.3744,,0.679,4.407
Road,Xpressbees,van,electric,193,800.0,636.25,30.68,Heavy,60,4,Electric,,0.03955,7.6557,,0.7953,6.2777
Road,Xpressbees,van,electric,170,800.0,642.94,29.49,Low,29,0,Electric,,0.03186,5.4465,,0.8037,4.4661
Road,Xpressbees,van,electric,197,1200.0,1091.81,26.46,Moderate,76,5,Electric,,0.04119,8.1321,,0.9098,6.6683
Road,Xpressbees,van,electric,154,1000.0,696.63,29.88,Heavy,64,0,Electric,,0.0443,6.8638,,0.6966,5.6283
Road,Xpressbees,van,electric,177,700.0,606.94,29.38,Heavy,53,3,Electric,,0.03593,6.3837,,0.8671,5.2346
Road,Xpressbees,van,electric,79,700.0,471.71,41.03,Heavy,53,4,Electric,,0.04239,3.3857,,0.6739,2.7763
Road,Xpressbees,van,electric,192,1000.0,767.59,39.39,Heavy,47,6,Electric,,0.04702,9.0283,,0.7676,7.4032
Road,Xpressbees,van,electric,111,800.0,676.95,34.49,Moderate,68,1,Electric,,0.04251,4.7335,,0.8462,3.8815
Road,Bluedart,van,diesel,91,1000.0,590.0,38.78,Moderate,16,5,BS-IV,12.193,,,7.476,0.59,17.195
Road,Bluedart,van,diesel,126,1200.0,924.0,29.04,Heavy,22,2,BS-IV,12.399,,,10.199,0.77,23.458
Road,Bluedart,van,diesel,84,600.0,120.0,37.82,Heavy,17,2,BS-VI,8.715,,,9.719,0.2,20.41
Road,Bluedart,van,diesel,101,600.0,120.0,36.34,Moderate,27,5,BS-VI,12.453,,,8.168,0.2,17.153
Road,Bluedart,van,diesel,111,1000.0,730.0,29.94,Moderate,29,2,BS-VI,9.962,,,11.153,0.73,23.421
Road,Bluedart,van,diesel,140,600.0,120.0,29.41,Moderate,22,4,BS-III,12.539,,,11.209,0.2,26.902
Road,Bluedart,van,diesel,147,1000.0,820.0,33.39,Moderate,17,4,BS-IV,11.004,,,13.396,0.82,30.811
Road,Bluedart,van,diesel,92,600.0,516.0,30.04,Moderate,21,2,BS-VI,9.034,,,10.23,0.86,21.483
Road,Bluedart,van,diesel,109,600.0,120.0,33.11,Moderate,16,5,BS-III,13.431,,,8.166,0.2,19.598
Road,Bluedart,van,diesel,121,1000.0,200.0,25.05,Low,20,3,BS-III,14.182,,,8.555,0.2,20.532
